업체(시설)명,지도점검일자,점검사항,지도점검구분,소재지주소
청룡부식,20161025,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 관수동 132번지 
현대부식,20161025,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 관수동 44번지 
동현실업,20161025,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 관수동 55번지 
용마,20161025,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 관수동 40번지 
쁘띠,20161025,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 묘동 99-1번지 외 1필지(102-1) 
평화당인쇄(주),20161024,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 견지동 60번지 
(재)한국의학연구소한국중부의원,20161024,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 당주동 100번지 세종빌딩 1층(107~109호) 
골드스미스,20161006,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 9-8번지 
Bevince(베빈스),20161006,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 돈의동 123번지 
의료법인하나로의료재단하나로의원,20161006,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 인사동 194-4번지 
팔구사,20161006,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 권농동 186번지 
유진염색,20161006,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 248-2번지 
알파색채 주식회사,20160929,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 평창동 283-1번지 
OK카서비스,20160929,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 평창동 66-32번지 
반도염색,20160928,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 97번지 
유진염색,20160928,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 248-2번지 
아트섬유,20160922,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 459번지 1층 
다래기획,20160921,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 돈의동 154번지 
수암크리스탈,20160921,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 관수동 134-7번지 
제일염색,20160921,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 225-25번지 1층 
정원염색,20160908,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 32-5번지 1층 
종오섬유,20160908,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 충신동 206-12번지 
제일염색,20160907,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 225-25번지 1층 
월드염색,20160907,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 239-29번지 
푸른염색,20160907,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 194-5번지 
종로염색,20160811,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효제동 197-1번지 
진흥염색,20160811,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 465번지 
정원염색,20160804,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 32-5번지 1층 
반도염색,20160804,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 97번지 
서울적십자 병원,20160803,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 평동 164번지 
강북삼성병원,20160803,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 평동 108-1번지 
선경섬유,20160727,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 460-2번지 
삼원염색,20160727,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 484번지 
세란병원 종합검진센터,20160721,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 무악동 66-3번지 
동원상사,20160720,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효제동 204번지 
종로염색,20160720,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 효제동 197-1번지 
유진염색,20160720,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 248-2번지 
미주염색,20160714,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 98-2번지 
반도염색,20160714,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 97번지 
효제사,20160714,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 238-32번지 
